[2024-09-09 18:59:57,815][__main__][INFO]: Welcome to AirLine!
[2024-09-09 18:59:57,815][reader.Mysql][INFO]: Connecting to database
[2024-09-09 18:59:57,835][reader.Mysql][WARNING]: Failed!
[2024-09-09 18:59:57,835][reader.Mysql][INFO]: Creating Database
[2024-09-09 18:59:57,858][__main__][INFO]: Inserting default flights...
[2024-09-09 18:59:58,859][__main__][INFO]: Inserted flight: {'name': 'Air India', 'pod': 'Mizoram', 'dest': 'Gujarat', 'class': 'Business Class', 'date': '2025-10-24', 'time': '19:12:40', 'price': 572268}
[2024-09-09 18:59:58,871][__main__][INFO]: Inserted flight: {'name': 'Alliance Air', 'pod': 'Manipur', 'dest': 'Nagaland', 'class': 'Premium Economy Class', 'date': '2026-04-26', 'time': '18:01:10', 'price': 253653}
[2024-09-09 18:59:58,871][__main__][INFO]: Inserted flight: {'name': 'Akasa Air', 'pod': 'Tamil Nadu', 'dest': 'Odisha', 'class': 'Business Class', 'date': '2025-10-22', 'time': '00:54:31', 'price': 326642}
[2024-09-09 18:59:58,871][__main__][INFO]: Inserted flight: {'name': 'SpiceJet', 'pod': 'Kerala', 'dest': 'Meghalaya', 'class': 'Economy Class', 'date': '2025-09-11', 'time': '03:46:12', 'price': 122896}
[2024-09-09 18:59:58,871][__main__][INFO]: Inserted flight: {'name': 'Air India', 'pod': 'Mizoram', 'dest': 'Odisha', 'class': 'Premium Economy Class', 'date': '2025-12-06', 'time': '11:21:18', 'price': 38125}
[2024-09-09 18:59:58,890][__main__][INFO]: Inserted flight: {'name': 'Air India', 'pod': 'Maharashtra', 'dest': 'Chhattisgarh', 'class': 'Premium Economy Class', 'date': '2024-12-28', 'time': '04:33:25', 'price': 264102}
[2024-09-09 18:59:58,895][__main__][INFO]: Inserted flight: {'name': 'AirAsia India', 'pod': 'Jharkhand', 'dest': 'Telangana', 'class': 'First Class', 'date': '2026-04-12', 'time': '22:48:16', 'price': 498080}
[2024-09-09 18:59:58,900][__main__][INFO]: Inserted flight: {'name': 'Vistara', 'pod': 'Tripura', 'dest': 'Arunachal Pradesh', 'class': 'First Class', 'date': '2025-05-11', 'time': '05:57:06', 'price': 716549}
[2024-09-09 18:59:58,907][__main__][INFO]: Inserted flight: {'name': 'Star Air', 'pod': 'West Bengal', 'dest': 'Sikkim', 'class': 'Business Class', 'date': '2026-06-23', 'time': '14:20:45', 'price': 751574}
[2024-09-09 18:59:58,909][__main__][INFO]: Inserted flight: {'name': 'Star Air', 'pod': 'Uttar Pradesh', 'dest': 'Chhattisgarh', 'class': 'Premium Economy Class', 'date': '2026-01-29', 'time': '14:04:19', 'price': 522771}
[2024-09-09 18:59:58,916][__main__][INFO]: Inserted flight: {'name': 'IndiGo', 'pod': 'Nagaland', 'dest': 'Uttarakhand', 'class': 'Premium Economy Class', 'date': '2025-03-20', 'time': '09:34:10', 'price': 592887}
