[2024-09-09 19:16:48,587][__main__][INFO]: Welcome to AirLine!
[2024-09-09 19:16:48,587][reader.Mysql][INFO]: Connecting to database
[2024-09-09 19:16:48,719][reader.Mysql][WARNING]: Failed!
[2024-09-09 19:16:48,719][reader.Mysql][INFO]: Creating Database
[2024-09-09 19:16:48,735][__main__][INFO]: Inserting default flights...
[2024-09-09 19:16:49,740][__main__][INFO]: Inserted flight: {'name': 'GoAir', 'pod': 'Telangana', 'dest': 'Telangana', 'class': 'First Class', 'date': '2024-12-10', 'time': '19:12:21', 'price': 734527}
[2024-09-09 19:16:49,740][__main__][INFO]: Inserted flight: {'name': 'Star Air', 'pod': 'Chhattisgarh', 'dest': 'Chhattisgarh', 'class': 'Premium Economy Class', 'date': '2026-09-01', 'time': '03:00:07', 'price': 106166}
[2024-09-09 19:16:49,754][__main__][INFO]: Inserted flight: {'name': 'SpiceJet', 'pod': 'Goa', 'dest': 'Goa', 'class': 'First Class', 'date': '2025-12-27', 'time': '00:59:39', 'price': 594712}
[2024-09-09 19:16:49,754][__main__][INFO]: Inserted flight: {'name': 'AirAsia India', 'pod': 'Haryana', 'dest': 'Haryana', 'class': 'Business Class', 'date': '2025-06-07', 'time': '07:42:28', 'price': 276383}
[2024-09-09 19:16:49,754][__main__][INFO]: Inserted flight: {'name': 'AirAsia India', 'pod': 'Rajasthan', 'dest': 'Rajasthan', 'class': 'Premium Economy Class', 'date': '2025-05-06', 'time': '22:15:22', 'price': 289708}
[2024-09-09 19:16:49,769][__main__][INFO]: Inserted flight: {'name': 'SpiceJet', 'pod': 'Telangana', 'dest': 'Telangana', 'class': 'First Class', 'date': '2025-05-01', 'time': '02:01:37', 'price': 93815}
[2024-09-09 19:16:49,769][__main__][INFO]: Inserted flight: {'name': 'Air India Express', 'pod': 'Meghalaya', 'dest': 'Meghalaya', 'class': 'Economy Class', 'date': '2026-03-04', 'time': '11:02:37', 'price': 727343}
[2024-09-09 19:16:49,769][__main__][INFO]: Inserted flight: {'name': 'Star Air', 'pod': 'Himachal Pradesh', 'dest': 'Himachal Pradesh', 'class': 'Premium Economy Class', 'date': '2025-06-25', 'time': '09:56:22', 'price': 765546}
[2024-09-09 19:16:49,769][__main__][INFO]: Inserted flight: {'name': 'SpiceJet', 'pod': 'Kerala', 'dest': 'Kerala', 'class': 'Economy Class', 'date': '2026-01-22', 'time': '15:02:00', 'price': 634467}
[2024-09-09 19:16:49,790][__main__][INFO]: Inserted flight: {'name': 'Alliance Air', 'pod': 'Nagaland', 'dest': 'Nagaland', 'class': 'Premium Economy Class', 'date': '2025-06-10', 'time': '05:11:04', 'price': 424185}
[2024-09-09 19:16:49,794][__main__][INFO]: Inserted flight: {'name': 'SpiceJet', 'pod': 'Tamil Nadu', 'dest': 'Tamil Nadu', 'class': 'Business Class', 'date': '2026-07-03', 'time': '10:24:37', 'price': 273628}
